,username,tweet,time
0,Ely Gill,"RT @IyanlaVanzant: Truth, order, love, faith and patience when used as the foundations of our actions, decisions, and interactions will put…",2018-06-05 19:02:43
1,David Albert Wall,"RT @foresters: How do we save eastern songbirds? Create a ""baby bird factory"" through forest management! Great collaborative effort from no…",2018-06-05 19:02:42
2,Brad Adkins,"RT @owillis: white reporters: but what's this nfl thing all about?!!
rest of us: seriously?",2018-06-05 19:02:42
3,New Columbia Heights,"A reminder: vote NO on Initiative 77. Pretty much every bar and restaurant in our neighborhood is opposed, and ever… https://t.co/uJLOb6Xtel",2018-06-05 19:02:41
4,Jake Eisenberg,"RT @mdbaseballnet: The St. Louis Cardinals selected Maryland's junior second baseman, Nick Dunn, in the fifth round of the MLB Draft. More:…",2018-06-05 19:02:39
5,J E Browne,RT @owillis: he's angry when blacks say things https://t.co/OuPBbJj9Ya,2018-06-05 19:02:38
6,Miami Gives,RT @theNCI: #ReutersHealth #ASCO18 https://t.co/scfqRlF9kv,2018-06-05 19:02:36
7,whiskey neat,"RT @IyanlaVanzant: Truth, order, love, faith and patience when used as the foundations of our actions, decisions, and interactions will put…",2018-06-05 19:02:36
8,"MrsKatie,M.Ed.,OTR/L",RT @SandyAOTA: New Practice stories and CE resources available about Being ethical in school practice... https://t.co/CVniU2FeCU. @AOTAInc,2018-06-05 19:02:33
9,Mary Lawson,RT @owillis: David Hogg and family terrorized after NRA made him public enemy number one https://t.co/lGBmPPspWq,2018-06-05 19:02:30
10,Jafaigel_35,"RT @TerpsMLax: That Bryan Cole goal tho 👀

#ProTerps🐢

 https://t.co/w3hrsulWbA",2018-06-05 19:02:30
11,Noire Unicorn🖤🦄,You knew this wasn’t fear... https://t.co/hAB5GIJ8xF,2018-06-05 19:02:30
12,Alexandre Carisey,"RT @RusanLab: Do you remember ASCB 2009 or 2010 when AFM of Myosin V walking on actin was shown? Well, the movies of Sas-6 self-assembly in…",2018-06-05 19:02:29
13,Dorothy Wright,"RT @IyanlaVanzant: Truth, order, love, faith and patience when used as the foundations of our actions, decisions, and interactions will put…",2018-06-05 19:02:29
14,Nuno Espirito Santo,@JonAtTheBar Gallant might as well have forfeited after they hit 2 or 3 posts in the first 5 minutes ugh,2018-06-05 19:02:26
15,Kyle Gasser,@ChazNuttycombe @pollreport California took so much oxygen from the pollsters/media. Hopefully a few go into the field this weekend.,2018-06-05 19:02:24
16,BethDT,RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:02:24
17,Core Blimey,"thinking of tweeting something that’ll go viral. how about, uh. let’s try this: “coca-cola is just spicy syrup.” th… https://t.co/wtyB0K9KDa",2018-06-05 19:02:23
18,Lydia L. Seiders,"RT @SGottliebFDA: In 2017, #FDA approved the most generic drug applications ever, with 843 fully approved applications and 184 tentatively…",2018-06-05 19:02:22
19,Jessica,"TFW you have every intention on paying &amp; the cashier says ""Caps won, free iced coffee today,"" I said ""well alright!… https://t.co/q6dw03t4s7",2018-06-05 19:02:22
20,SilverSpring Penguin,"Caps' T.J. Oshie takes train to Stanley Cup Final again, comes up short on metro fare https://t.co/fcIeKlKbD5 via @forthewin",2018-06-05 19:02:19
21,John Elliott,"RT @owillis: white reporters: but what's this nfl thing all about?!!
rest of us: seriously?",2018-06-05 19:02:18
22,Miami Gives,RT @accorg: Today the STAR Act will become law. The President is scheduled to sign the bill at 5:15! Thank you for taking action to transfo…,2018-06-05 19:02:18
23,M,@TheGoldenRatio4 Thanks to all the other new doggo frens for the support. You made the last theee hours more bright.  ❤️❤️,2018-06-05 19:02:17
24,Lydia L. Seiders,"RT @SGottliebFDA: In a new analysis, #FDA estimates  that the total cost-savings associated with all 2017 ANDA approvals to be $11.8 billio…",2018-06-05 19:02:16
25,John Elliott,RT @owillis: this isnt very difficult: trump and his base dont want black people to speak. period. end. finis.,2018-06-05 19:02:15
26,⚡️IsraelStaxxx⚡️⚾️,"RT @TerpsBaseball: .@Nick_Dunn23 ➡️ STL

@Cardinals, all this dude does is rake

#ProTerps | #MLBDraft https://t.co/h3z2NMk6UK",2018-06-05 19:02:11
27,Ann Overton,"RT @owillis: sarah sanders, every day: im lying, you know im lying, tomorrow ill be lying again. also you and your profession are scum.

ma…",2018-06-05 19:02:10
28,Jacki Ball,"RT @PoliticsK12: According to schedule of @BetsyDeVosED's trip, she's slated to arrive in Zurich, Switzerland tomorrow. Which means she wil…",2018-06-05 19:02:10
29,Radman 🇺🇸🎥⚾️🥃,"@ishaantharoor wow, second time in a week, I have agreed with Tharoor, lets not make it a habit...",2018-06-05 19:02:08
30,MCPS,"RT @blairprincipal: Retweeted Jill Ortman-Fouse (@Jill4allMoCo):

The big day. This is what it’s all about—sharing the joy! Congrats to all…",2018-06-05 19:02:06
31,Clipsluv,RT @owillis: he's angry when blacks say things https://t.co/OuPBbJj9Ya,2018-06-05 19:02:05
32,Greenbelt Co-op,“Have a messy microwave? Not only is it possible to get a squeaky-clean microwave without using harsh chemicals in… https://t.co/9Qq2bFsXg6,2018-06-05 19:02:04
33,Testudo Times,Nick Dunn was Maryland baseball’s best player all season. Now he’s a fifth-round draft pick. https://t.co/UY662wyxQx,2018-06-05 19:02:03
34,Edward Ford,@pamelajm88 @_YMCassMoneyB @lhviera @nports5 @RazorHawk95 @GoldenKnights Edited by Edward: Our team are the champio… https://t.co/sAz7RIDI22,2018-06-05 19:02:01
35,charles warren,RT @NASAWebb: How will the infrared-sensitive #Webb telescope shed the heat generated by its own science instruments? The answer might be c…,2018-06-05 19:02:00
36,Nakieta,RT @IyanlaVanzant: The only way to get to where you want to be is to do what needs to be done to get there.,2018-06-05 19:02:00
37,Shala W. Graham,I’ve now had a Big Greek Salad from @BigGreekCafe for my 3rd day in a row! #dtss,2018-06-05 19:01:59
38,Melissa M Corrigan,RT @ASHPOfficial: Key takeaway from #ASHPSM18: https://t.co/KlbjRohqQ6,2018-06-05 19:01:54
39,R. L.,RT @accorg: Today the STAR Act will become law. The President is scheduled to sign the bill at 5:15! Thank you for taking action to transfo…,2018-06-05 19:01:54
40,Key Lo Lo Jenkins,"RT @IyanlaVanzant: Truth, order, love, faith and patience when used as the foundations of our actions, decisions, and interactions will put…",2018-06-05 19:01:42
41,WashingtonDC S-Chain,"Want to work at Total Wine &amp; More? We're #hiring in #Bethesda, MD! Click for details: https://t.co/dgEPARrXpC… https://t.co/KjaYmYOm8u",2018-06-05 19:01:40
42,Kenneth Samson,"old_time_DC: ""When the NHL announced in 1972 that it was awarding an expansion franchise to Washington, Jay Cohen,… https://t.co/zRhJFWaOL7",2018-06-05 19:01:40
